model,class,indicator,z_mean
lta_3state_configural_pilot,1,stress,2.794
lta_3state_configural_pilot,1,entrapment,3.169
lta_3state_configural_pilot,1,burdensomeness,3.074
lta_3state_configural_pilot,1,belongingness,3.276
lta_3state_configural_pilot,1,loneliness,2.472
lta_3state_configural_pilot,2,stress,0.68
lta_3state_configural_pilot,2,entrapment,0.878
lta_3state_configural_pilot,2,burdensomeness,1.0
lta_3state_configural_pilot,2,belongingness,1.001
lta_3state_configural_pilot,2,loneliness,0.981
lta_3state_configural_pilot,3,stress,-0.266
lta_3state_configural_pilot,3,entrapment,-0.425
lta_3state_configural_pilot,3,burdensomeness,-0.437
lta_3state_configural_pilot,3,belongingness,-0.514
lta_3state_configural_pilot,3,loneliness,-0.435
lta_3state_invariant_pilot,1,stress,-0.281
lta_3state_invariant_pilot,1,entrapment,-0.413
lta_3state_invariant_pilot,1,burdensomeness,-0.418
lta_3state_invariant_pilot,1,belongingness,-0.473
lta_3state_invariant_pilot,1,loneliness,-0.434
lta_3state_invariant_pilot,2,stress,1.733
lta_3state_invariant_pilot,2,entrapment,2.65
lta_3state_invariant_pilot,2,burdensomeness,2.5
lta_3state_invariant_pilot,2,belongingness,2.618
lta_3state_invariant_pilot,2,loneliness,2.233
lta_3state_invariant_pilot,3,stress,0.5
lta_3state_invariant_pilot,3,entrapment,0.697
lta_3state_invariant_pilot,3,burdensomeness,0.775
lta_3state_invariant_pilot,3,belongingness,0.959
lta_3state_invariant_pilot,3,loneliness,0.945
lta_3state_invariant_smoke,1,stress,-0.281
lta_3state_invariant_smoke,1,entrapment,-0.413
lta_3state_invariant_smoke,1,burdensomeness,-0.418
lta_3state_invariant_smoke,1,belongingness,-0.473
lta_3state_invariant_smoke,1,loneliness,-0.434
lta_3state_invariant_smoke,2,stress,0.5
lta_3state_invariant_smoke,2,entrapment,0.697
lta_3state_invariant_smoke,2,burdensomeness,0.775
lta_3state_invariant_smoke,2,belongingness,0.959
lta_3state_invariant_smoke,2,loneliness,0.945
lta_3state_invariant_smoke,3,stress,1.733
lta_3state_invariant_smoke,3,entrapment,2.65
lta_3state_invariant_smoke,3,burdensomeness,2.5
lta_3state_invariant_smoke,3,belongingness,2.618
lta_3state_invariant_smoke,3,loneliness,2.233
lta_4state_configural_pilot,1,stress,3.093
lta_4state_configural_pilot,1,entrapment,3.427
lta_4state_configural_pilot,1,burdensomeness,3.578
lta_4state_configural_pilot,1,belongingness,3.504
lta_4state_configural_pilot,1,loneliness,2.353
lta_4state_configural_pilot,2,stress,0.506
lta_4state_configural_pilot,2,entrapment,0.317
lta_4state_configural_pilot,2,burdensomeness,0.332
lta_4state_configural_pilot,2,belongingness,0.398
lta_4state_configural_pilot,2,loneliness,0.518
lta_4state_configural_pilot,3,stress,0.971
lta_4state_configural_pilot,3,entrapment,1.623
lta_4state_configural_pilot,3,burdensomeness,1.595
lta_4state_configural_pilot,3,belongingness,1.537
lta_4state_configural_pilot,3,loneliness,1.444
lta_4state_configural_pilot,4,stress,-0.334
lta_4state_configural_pilot,4,entrapment,-0.489
lta_4state_configural_pilot,4,burdensomeness,-0.483
lta_4state_configural_pilot,4,belongingness,-0.559
lta_4state_configural_pilot,4,loneliness,-0.489
lta_4state_invariant_pilot,1,stress,-0.354
lta_4state_invariant_pilot,1,entrapment,-0.475
lta_4state_invariant_pilot,1,burdensomeness,-0.471
lta_4state_invariant_pilot,1,belongingness,-0.529
lta_4state_invariant_pilot,1,loneliness,-0.484
lta_4state_invariant_pilot,2,stress,0.896
lta_4state_invariant_pilot,2,entrapment,1.509
lta_4state_invariant_pilot,2,burdensomeness,1.466
lta_4state_invariant_pilot,2,belongingness,1.615
lta_4state_invariant_pilot,2,loneliness,1.458
lta_4state_invariant_pilot,3,stress,0.381
lta_4state_invariant_pilot,3,entrapment,0.244
lta_4state_invariant_pilot,3,burdensomeness,0.204
lta_4state_invariant_pilot,3,belongingness,0.408
lta_4state_invariant_pilot,3,loneliness,0.464
lta_4state_invariant_pilot,4,stress,2.03
lta_4state_invariant_pilot,4,entrapment,3.199
lta_4state_invariant_pilot,4,burdensomeness,3.473
lta_4state_invariant_pilot,4,belongingness,3.027
lta_4state_invariant_pilot,4,loneliness,2.36
lta_4state_invariant_smoke,1,stress,-0.354
lta_4state_invariant_smoke,1,entrapment,-0.475
lta_4state_invariant_smoke,1,burdensomeness,-0.471
lta_4state_invariant_smoke,1,belongingness,-0.529
lta_4state_invariant_smoke,1,loneliness,-0.484
lta_4state_invariant_smoke,2,stress,0.896
lta_4state_invariant_smoke,2,entrapment,1.509
lta_4state_invariant_smoke,2,burdensomeness,1.466
lta_4state_invariant_smoke,2,belongingness,1.615
lta_4state_invariant_smoke,2,loneliness,1.458
lta_4state_invariant_smoke,3,stress,0.381
lta_4state_invariant_smoke,3,entrapment,0.244
lta_4state_invariant_smoke,3,burdensomeness,0.204
lta_4state_invariant_smoke,3,belongingness,0.408
lta_4state_invariant_smoke,3,loneliness,0.464
lta_4state_invariant_smoke,4,stress,2.03
lta_4state_invariant_smoke,4,entrapment,3.199
lta_4state_invariant_smoke,4,burdensomeness,3.473
lta_4state_invariant_smoke,4,belongingness,3.027
lta_4state_invariant_smoke,4,loneliness,2.36
