model,wave,class,estimated_n,estimated_proportion
lta_3state_configural_pilot,1,1,30.41871,0.08069
lta_3state_configural_pilot,1,2,75.76471,0.20097
lta_3state_configural_pilot,1,3,270.81656,0.71835
lta_3state_configural_pilot,2,1,29.92345,0.07937
lta_3state_configural_pilot,2,2,77.97721,0.20684
lta_3state_configural_pilot,2,3,269.09933,0.71379
lta_3state_configural_pilot,3,1,27.42567,0.07275
lta_3state_configural_pilot,3,2,291.36261,0.77285
lta_3state_configural_pilot,3,3,58.21171,0.15441
lta_3state_configural_pilot,4,1,16.99609,0.04508
lta_3state_configural_pilot,4,2,68.99862,0.18302
lta_3state_configural_pilot,4,3,291.00528,0.7719
lta_3state_invariant_pilot,1,1,263.33838,0.69851
lta_3state_invariant_pilot,1,2,32.29456,0.08566
lta_3state_invariant_pilot,1,3,81.36706,0.21583
lta_3state_invariant_pilot,2,1,282.8631,0.7503
lta_3state_invariant_pilot,2,2,25.66025,0.06806
lta_3state_invariant_pilot,2,3,68.47668,0.18164
lta_3state_invariant_pilot,3,1,296.46335,0.78638
lta_3state_invariant_pilot,3,2,22.11429,0.05866
lta_3state_invariant_pilot,3,3,58.42234,0.15497
lta_3state_invariant_pilot,4,1,288.57278,0.76545
lta_3state_invariant_pilot,4,2,24.59553,0.06524
lta_3state_invariant_pilot,4,3,63.83169,0.16931
lta_3state_invariant_smoke,1,1,263.33835,0.69851
lta_3state_invariant_smoke,1,2,81.36706,0.21583
lta_3state_invariant_smoke,1,3,32.29456,0.08566
lta_3state_invariant_smoke,2,1,282.86307,0.7503
lta_3state_invariant_smoke,2,2,68.47668,0.18164
lta_3state_invariant_smoke,2,3,25.66025,0.06806
lta_3state_invariant_smoke,3,1,296.46335,0.78638
lta_3state_invariant_smoke,3,2,58.42235,0.15497
lta_3state_invariant_smoke,3,3,22.11429,0.05866
lta_3state_invariant_smoke,4,1,288.57278,0.76545
lta_3state_invariant_smoke,4,2,63.83169,0.16931
lta_3state_invariant_smoke,4,3,24.59553,0.06524
lta_4state_configural_pilot,1,1,252.73045,0.67037
lta_4state_configural_pilot,1,2,66.57677,0.1766
lta_4state_configural_pilot,1,3,45.85713,0.12164
lta_4state_configural_pilot,1,4,11.83564,0.03139
lta_4state_configural_pilot,2,1,3.00001,0.00796
lta_4state_configural_pilot,2,2,89.0619,0.23624
lta_4state_configural_pilot,2,3,37.62946,0.09981
lta_4state_configural_pilot,2,4,247.30862,0.65599
lta_4state_configural_pilot,3,1,13.02324,0.03454
lta_4state_configural_pilot,3,2,271.73914,0.72079
lta_4state_configural_pilot,3,3,37.83549,0.10036
lta_4state_configural_pilot,3,4,54.40212,0.1443
lta_4state_configural_pilot,4,1,12.97878,0.03443
lta_4state_configural_pilot,4,2,63.16356,0.16754
lta_4state_configural_pilot,4,3,34.67618,0.09198
lta_4state_configural_pilot,4,4,266.18155,0.70605
lta_4state_invariant_pilot,1,1,230.98915,0.6127
lta_4state_invariant_pilot,1,2,51.36705,0.13625
lta_4state_invariant_pilot,1,3,79.2086,0.2101
lta_4state_invariant_pilot,1,4,15.43521,0.04094
lta_4state_invariant_pilot,2,1,244.04749,0.64734
lta_4state_invariant_pilot,2,2,39.02695,0.10352
lta_4state_invariant_pilot,2,3,83.4809,0.22143
lta_4state_invariant_pilot,2,4,10.44468,0.0277
lta_4state_invariant_pilot,3,1,271.7157,0.72073
lta_4state_invariant_pilot,3,2,37.40914,0.09923
lta_4state_invariant_pilot,3,3,55.87701,0.14821
lta_4state_invariant_pilot,3,4,11.9982,0.03183
lta_4state_invariant_pilot,4,1,266.1076,0.70586
lta_4state_invariant_pilot,4,2,34.93558,0.09267
lta_4state_invariant_pilot,4,3,61.54885,0.16326
lta_4state_invariant_pilot,4,4,14.40798,0.03822
lta_4state_invariant_smoke,1,1,230.98915,0.6127
lta_4state_invariant_smoke,1,2,51.36705,0.13625
lta_4state_invariant_smoke,1,3,79.2086,0.2101
lta_4state_invariant_smoke,1,4,15.43521,0.04094
lta_4state_invariant_smoke,2,1,244.04749,0.64734
lta_4state_invariant_smoke,2,2,39.02695,0.10352
lta_4state_invariant_smoke,2,3,83.4809,0.22143
lta_4state_invariant_smoke,2,4,10.44468,0.0277
lta_4state_invariant_smoke,3,1,271.7157,0.72073
lta_4state_invariant_smoke,3,2,37.40914,0.09923
lta_4state_invariant_smoke,3,3,55.87701,0.14821
lta_4state_invariant_smoke,3,4,11.9982,0.03183
lta_4state_invariant_smoke,4,1,266.1076,0.70586
lta_4state_invariant_smoke,4,2,34.93558,0.09267
lta_4state_invariant_smoke,4,3,61.54885,0.16326
lta_4state_invariant_smoke,4,4,14.40798,0.03822
