model,from_wave,to_wave,from_class,to_class,probability
lta_3state_configural_pilot,1,2,1,1,0.598
lta_3state_configural_pilot,1,2,1,2,0.305
lta_3state_configural_pilot,1,2,1,3,0.097
lta_3state_configural_pilot,1,2,2,1,0.155
lta_3state_configural_pilot,1,2,2,2,0.628
lta_3state_configural_pilot,1,2,2,3,0.217
lta_3state_configural_pilot,1,2,3,1,0.0
lta_3state_configural_pilot,1,2,3,2,0.078
lta_3state_configural_pilot,1,2,3,3,0.922
lta_3state_configural_pilot,2,3,1,1,0.677
lta_3state_configural_pilot,2,3,1,2,0.033
lta_3state_configural_pilot,2,3,1,3,0.289
lta_3state_configural_pilot,2,3,2,1,0.092
lta_3state_configural_pilot,2,3,2,2,0.365
lta_3state_configural_pilot,2,3,2,3,0.543
lta_3state_configural_pilot,2,3,3,1,0.0
lta_3state_configural_pilot,2,3,3,2,0.973
lta_3state_configural_pilot,2,3,3,3,0.027
lta_3state_configural_pilot,3,4,1,1,0.511
lta_3state_configural_pilot,3,4,1,2,0.489
lta_3state_configural_pilot,3,4,1,3,0.0
lta_3state_configural_pilot,3,4,2,1,0.0
lta_3state_configural_pilot,3,4,2,2,0.04
lta_3state_configural_pilot,3,4,2,3,0.96
lta_3state_configural_pilot,3,4,3,1,0.051
lta_3state_configural_pilot,3,4,3,2,0.755
lta_3state_configural_pilot,3,4,3,3,0.194
lta_3state_invariant_pilot,1,2,1,1,0.956
lta_3state_invariant_pilot,1,2,1,2,0.0
lta_3state_invariant_pilot,1,2,1,3,0.044
lta_3state_invariant_pilot,1,2,2,1,0.145
lta_3state_invariant_pilot,1,2,2,2,0.546
lta_3state_invariant_pilot,1,2,2,3,0.308
lta_3state_invariant_pilot,1,2,3,1,0.325
lta_3state_invariant_pilot,1,2,3,2,0.099
lta_3state_invariant_pilot,1,2,3,3,0.576
lta_3state_invariant_pilot,2,3,1,1,0.956
lta_3state_invariant_pilot,2,3,1,2,0.01
lta_3state_invariant_pilot,2,3,1,3,0.034
lta_3state_invariant_pilot,2,3,2,1,0.039
lta_3state_invariant_pilot,2,3,2,2,0.606
lta_3state_invariant_pilot,2,3,2,3,0.355
lta_3state_invariant_pilot,2,3,3,1,0.365
lta_3state_invariant_pilot,2,3,3,2,0.056
lta_3state_invariant_pilot,2,3,3,3,0.578
lta_3state_invariant_pilot,3,4,1,1,0.949
lta_3state_invariant_pilot,3,4,1,2,0.0
lta_3state_invariant_pilot,3,4,1,3,0.051
lta_3state_invariant_pilot,3,4,2,1,0.0
lta_3state_invariant_pilot,3,4,2,2,0.703
lta_3state_invariant_pilot,3,4,2,3,0.297
lta_3state_invariant_pilot,3,4,3,1,0.124
lta_3state_invariant_pilot,3,4,3,2,0.155
lta_3state_invariant_pilot,3,4,3,3,0.721
lta_3state_invariant_smoke,1,2,1,1,0.956
lta_3state_invariant_smoke,1,2,1,2,0.044
lta_3state_invariant_smoke,1,2,1,3,0.0
lta_3state_invariant_smoke,1,2,2,1,0.325
lta_3state_invariant_smoke,1,2,2,2,0.576
lta_3state_invariant_smoke,1,2,2,3,0.099
lta_3state_invariant_smoke,1,2,3,1,0.145
lta_3state_invariant_smoke,1,2,3,2,0.308
lta_3state_invariant_smoke,1,2,3,3,0.546
lta_3state_invariant_smoke,2,3,1,1,0.956
lta_3state_invariant_smoke,2,3,1,2,0.034
lta_3state_invariant_smoke,2,3,1,3,0.01
lta_3state_invariant_smoke,2,3,2,1,0.365
lta_3state_invariant_smoke,2,3,2,2,0.578
lta_3state_invariant_smoke,2,3,2,3,0.056
lta_3state_invariant_smoke,2,3,3,1,0.039
lta_3state_invariant_smoke,2,3,3,2,0.355
lta_3state_invariant_smoke,2,3,3,3,0.606
lta_3state_invariant_smoke,3,4,1,1,0.949
lta_3state_invariant_smoke,3,4,1,2,0.051
lta_3state_invariant_smoke,3,4,1,3,0.0
lta_3state_invariant_smoke,3,4,2,1,0.124
lta_3state_invariant_smoke,3,4,2,2,0.721
lta_3state_invariant_smoke,3,4,2,3,0.155
lta_3state_invariant_smoke,3,4,3,1,0.0
lta_3state_invariant_smoke,3,4,3,2,0.297
lta_3state_invariant_smoke,3,4,3,3,0.703
lta_4state_configural_pilot,1,2,1,1,0.0
lta_4state_configural_pilot,1,2,1,2,0.091
lta_4state_configural_pilot,1,2,1,3,0.0
lta_4state_configural_pilot,1,2,1,4,0.909
lta_4state_configural_pilot,1,2,2,1,0.0
lta_4state_configural_pilot,1,2,2,2,0.629
lta_4state_configural_pilot,1,2,2,3,0.17
lta_4state_configural_pilot,1,2,2,4,0.201
lta_4state_configural_pilot,1,2,3,1,0.022
lta_4state_configural_pilot,1,2,3,2,0.444
lta_4state_configural_pilot,1,2,3,3,0.465
lta_4state_configural_pilot,1,2,3,4,0.069
lta_4state_configural_pilot,1,2,4,1,0.169
lta_4state_configural_pilot,1,2,4,2,0.324
lta_4state_configural_pilot,1,2,4,3,0.422
lta_4state_configural_pilot,1,2,4,4,0.084
lta_4state_configural_pilot,2,3,1,1,1.0
lta_4state_configural_pilot,2,3,1,2,0.0
lta_4state_configural_pilot,2,3,1,3,0.0
lta_4state_configural_pilot,2,3,1,4,0.0
lta_4state_configural_pilot,2,3,2,1,0.021
lta_4state_configural_pilot,2,3,2,2,0.274
lta_4state_configural_pilot,2,3,2,3,0.162
lta_4state_configural_pilot,2,3,2,4,0.542
lta_4state_configural_pilot,2,3,3,1,0.216
lta_4state_configural_pilot,2,3,3,2,0.026
lta_4state_configural_pilot,2,3,3,3,0.595
lta_4state_configural_pilot,2,3,3,4,0.162
lta_4state_configural_pilot,2,3,4,1,0.0
lta_4state_configural_pilot,2,3,4,2,0.996
lta_4state_configural_pilot,2,3,4,3,0.004
lta_4state_configural_pilot,2,3,4,4,0.0
lta_4state_configural_pilot,3,4,1,1,0.539
lta_4state_configural_pilot,3,4,1,2,0.077
lta_4state_configural_pilot,3,4,1,3,0.384
lta_4state_configural_pilot,3,4,1,4,0.0
lta_4state_configural_pilot,3,4,2,1,0.0
lta_4state_configural_pilot,3,4,2,2,0.046
lta_4state_configural_pilot,3,4,2,3,0.0
lta_4state_configural_pilot,3,4,2,4,0.954
lta_4state_configural_pilot,3,4,3,1,0.157
lta_4state_configural_pilot,3,4,3,2,0.168
lta_4state_configural_pilot,3,4,3,3,0.653
lta_4state_configural_pilot,3,4,3,4,0.021
lta_4state_configural_pilot,3,4,4,1,0.0
lta_4state_configural_pilot,3,4,4,2,0.797
lta_4state_configural_pilot,3,4,4,3,0.091
lta_4state_configural_pilot,3,4,4,4,0.112
lta_4state_invariant_pilot,1,2,1,1,0.931
lta_4state_invariant_pilot,1,2,1,2,0.0
